Stt,Họ và tên, Giới tính, Ngày sinh(dd/mm/yyyy), Địa chỉ
1,Lê Mai Thảo, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Duy Thắng, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Thái Vân, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Hồng Giang, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Phạm Thu Oanh, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Bùi Trung Hiếu, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Anh Thái, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Ngọc Khánh, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Phạm Thuỵ Miên, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Thuận Thành, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Bùi Ðình Diệu, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Đỗ Tuấn Hùng, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Đỗ Gia Huy, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Đỗ Nam Phi, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Thiên Phú, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Bùi Việt Khải, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Lê Oanh, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Phạm Bạch Hoa, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Lê Cát Tiên, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Bùi Hữu Hiệp, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Thiện Thanh, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Kim Thông, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Phạm Thục Oanh, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Thục Quyên, Nữ, 20/10/2006, Hoài Ân-Bình Định
