Stt,Họ và tên, Giới tính, Ngày sinh(dd/mm/yyyy), Địa chỉ
1,Đỗ Hữu Ðịnh, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Lê Tú Tâm, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Bùi Hải Long, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Đỗ Danh Sơn, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Trần Minh Hào, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Tuấn Vũ, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Lê Thanh Tâm, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Đỗ Minh Quân, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Hiếu Phong, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Lê Thanh Thảo, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Thanh Uyên, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Bùi Công Tuấn, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Ngọc Hiển, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Ái Thy, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Trần Hoài Tín, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Bảo Long, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Phạm Quỳnh Tiên, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Lê Anh Thy, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Tường Nguyên, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Minh Vân, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Lê Thu Hà, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Quang Danh, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Linh Đan, Nữ, 14/03/2006, Hoài Ân-Bình Định
