Stt,Họ và tên, Giới tính, Ngày sinh(dd/mm/yyyy), Địa chỉ
1,Trần Ðại Ngọc, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Trần Khởi Phong, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Lê Thục Quyên, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Phạm Tuyết Xuân, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Công Hậu, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Phạm Kiều Hương Giang, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Duy Bảo, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Đại Dương, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Đỗ Minh Nghĩa, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Lê Yến Mai, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Phạm Thanh Thủy, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Bảo Quốc, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Trần Thanh Minh, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Lê Tâm Nguyên, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Lê Thanh Nhàn, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Lê Hân, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Mỹ Ngọc, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Hoàng Linh, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Trọng Hà, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Dương Anh, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Bùi Hữu Trí, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Phạm Quỳnh Lâm, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Ðình Trung, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Quỳnh, Nữ, 14/03/2006, Hoài Ân-Bình Định
