Stt,Họ và tên, Giới tính, Ngày sinh(dd/mm/yyyy), Địa chỉ
1,Đỗ Gia Khiêm, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Hạnh Ngân, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Cao Phong, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Thuận Toàn, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Lê Khánh Ngân, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Trần Ðình Cường, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Anh Tài, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Thuỳ Trang, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Huy Khiêm, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Khả Ái, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Duy Cường, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Đỗ Quang Ninh, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Nguyệt Lan, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Đỗ Thanh Liêm, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Thu Sương, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Thùy My, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Lê Thanh Lam, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Lê Anh Phương, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Phương Tâm, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Lan Anh, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Nam Hải, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Đỗ Xuân Sơn, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Thiên Hà, Nữ, 14/03/2006, Hoài Ân-Bình Định
