Stt,Họ và tên, Giới tính, Ngày sinh(dd/mm/yyyy), Địa chỉ
1,Lê Minh Châu, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Trần Phước Nhân, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Lê Ánh Dương, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Đỗ Thế Sơn, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Lê Oanh, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Thành Ðạt, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Trần Khải Ca, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Bảo Lan, Nữ, 14/03/02, Hoài Ân-Bình Định
1,Nguyễn Hòa Giang, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Đăng Khương, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Bùi Kim Tuấn, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Thắng Lợi, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Bích Phượng, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Quang Đạt, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Phạm Anh Mai, Nữ, 14/03/02, Hoài Ân-Bình Định
1,Bùi Duy Hoàng, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Bùi Anh Kiệt, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Vũ Uy, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Phạm Kim Cương, Nữ, 14/03/02, Hoài Ân-Bình Định
1,Nguyễn Tuấn Linh, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Lê Gia Bảo, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Bùi Ðức Trí, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Thanh Tuấn, Nam, 23/02/2006, Hoài Ân-Bình Định
