Stt,Họ và tên, Giới tính, Ngày sinh(dd/mm/yyyy), Địa chỉ
1,Lê Như, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Lê Thùy Giang, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Phạm Thục Khuê, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Bảo Chấn, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Kim Bảo, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Diễm Khuê, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Đỗ Khánh Phi, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Khánh Ngân, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Hoàng Sa, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Bùi Nguyên Ðan, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Thủy Tiên, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Duy Minh, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Đỗ Tường Lĩnh, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Khải Tâm, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Đỗ Hữu Châu, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Yến Thảo, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Hải Châu, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Phạm Thị Trinh, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Phạm Tâm Nguyệt, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Phạm Mỹ Duyên, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Lê Ánh Thơ, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Hoàng Lan, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Lê Thanh Hà, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Trần Kim Long, Nam, 10/10/2006, Hoài Ân-Bình Định
